,0
324,1.07868786e-07
325,-7.3072115e-08
326,1.3895542e-08
327,7.7827835e-08
328,-2.1484692e-07
329,4.2253876e-07
330,-7.6654567e-07
331,1.4909253e-06
332,-4.8125926e-06
333,-4.814878e-06
334,1.4915119e-06
335,-7.638158e-07
336,4.150555e-07
337,-2.0148495e-07
338,5.794221e-08
339,4.026914e-08
340,-1.0500263e-07
341,1.4333044e-07
342,-1.604109e-07
343,1.606061e-07
344,-1.478967e-07
345,1.2600206e-07
346,-9.837284e-08
347,6.8132394e-08
348,-3.8022332e-08
349,1.0360313e-08
350,1.2979038e-08
351,-3.056326e-08
352,4.1388976e-08
353,-4.4864052e-08
354,4.0800305e-08
355,-2.940974e-08
356,1.1318848e-08
357,1.2410597e-08
358,-4.0259977e-08
359,7.0241896e-08
360,-9.990846e-08
361,1.2638758e-07
362,-1.464492e-07
363,1.5659319e-07
364,-1.531359e-07
365,1.3224873e-07
366,-8.9860485e-08
367,2.124671e-08
368,8.0094345e-08
369,-2.2534351e-07
370,4.384773e-07
371,-7.839664e-07
372,1.5049864e-06
373,-4.817921e-06
374,-4.823771e-06
375,1.5197527e-06
376,-8.156315e-07
377,4.932058e-07
378,-3.066747e-07
379,1.8825816e-07
380,-1.1012922e-07
381,5.6868966e-08
382,-1.7485231e-08
383,-1.7417156e-08
384,5.6837088e-08
385,-1.1017554e-07
386,1.8843643e-07
387,-3.0705016e-07
388,4.9384863e-07
389,-8.1660346e-07
390,1.5210843e-06
391,-4.825438e-06
392,-4.8160346e-06
393,1.503111e-06
394,-7.82471e-07
395,4.3787628e-07
396,-2.2627668e-07
397,8.3279794e-08
398,1.5095393e-08
399,-8.015144e-08
400,1.18657766e-07
